what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1321813118508
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1321813118508
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1321813118509
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1321813118509
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1321813118510
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1321813118510
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1321813118510
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1321813118511
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1321813118511
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1321813118512
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1321813118512
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1321813118513
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1321813118514
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1321813118514
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1321813118515
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1321813118515
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1321813118516
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1321813118517
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1321813118518
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1321813118518
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1321813118519
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1321813118519
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1321813118520
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1321813118521
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1321813118521
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1321813118522
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1321813118522
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1321813118523
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1321813118524
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1321813118524
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1321813118525
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1321813118525
os,sysinfo,,,"win32",1321813118528
arch,sysinfo,,,"x86_64",1321813118528
ws,sysinfo,,,"win32",1321813118528
locale,sysinfo,,,"en_US",1321813118528
processors,sysinfo,,,"8",1321813118528
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1321813118528
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1321813118528
java.specification.name,sysinfo,,,"Java Platform API Specification",1321813118528
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321813118528
java.specification.version,sysinfo,,,"1.6",1321813118528
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1321813118528
java.version,sysinfo,,,"1.6.0_29",1321813118528
java.vm.info,sysinfo,,,"mixed mode",1321813118528
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1321813118528
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321813118528
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321813118528
java.vm.specification.version,sysinfo,,,"1.0",1321813118528
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1321813118528
java.vm.version,sysinfo,,,"20.4-b02",1321813118528
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201108301805,"org.eclipse.linuxtools.cdt.autotools.core",1321813119128
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1321813119160
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.gnu.ui",1321813119184
